title,description,source,publishedAt,url
Merge tag 'amd-drm-fixes-7.2-2026-07-17' of https://gitlab.freedesktop.org/agd5f/linux into drm-fixes,,Kernel.org,2026-07-17T22:20:41Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=973fd9493ec21f12e760fbbedeb7b0b2317c02f4
"Revert ""drm/amd/display: Restore 5s vbl offdelay for NV3x+ DGPUs""",,Kernel.org,2026-07-17T21:43:13Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=f39283eab44fb7e304677b2aa1d8c38f151b6566
drm/amd/display: check GRPH_FLIP status before sending event,,Kernel.org,2026-07-17T21:42:18Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=48ab86360af117123eb1b15e38f068acf3826400
drm/amd/display: consolidate DCN vblank/flip handling onto vupdate_no_lock,,Kernel.org,2026-07-17T21:41:50Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=8382cd234981ae36299bb66a10bac2cd8ff1b99d
drm/amd: Create a device link between APU display and XHCI devices,,Kernel.org,2026-07-17T21:41:39Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=75c8746b9d0a0317d8a58aa0efa2ff2f7359908b
drm/amd/display: wire DCN42B mcache programming callback,,Kernel.org,2026-07-17T21:41:33Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=46c3c32ba655c94b885b75b5adb8e481612126bf
drm/amd/display: set new_stream to NULL after release,,Kernel.org,2026-07-17T21:41:25Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=9fa26b9eed6195bf840f39ac183b9a6237548755
amd-mori-nightly 1.2.3.dev20260717,"Modular RDMA Interface — GPU communication library for P2P, RDMA/IBGDA, and SDMA",Pypi.org,2026-07-17T20:54:09Z,https://pypi.org/project/amd-mori-nightly/1.2.3.dev20260717/
This $80 motherboard is the heart of your next budget gaming PC,It's time for a new summer build on the cheap,XDA Developers,2026-07-17T20:38:34Z,https://www.xda-developers.com/build-yourself-a-powerful-budget-gaming-rig-with-this-asus-motherboard/
Stocks skid to losing week as Chinese AI fears fuel chipmaker rout,Mounting concerns over massive AI spending and the potential to create an “AI bubble” have fueled weeks of choppy tech stock trading.,New York Post,2026-07-17T20:27:32Z,https://nypost.com/2026/07/17/business/stocks-skid-to-losing-week-as-chinese-ai-fears-fuel-chipmaker-rout/
