title,description,source,publishedAt,url
"These Retiring LEGO Sets Are Sold Out at the LEGO Store, But You Can Still Snag Them At Amazon",,IGN,2026-07-17T22:45:00Z,https://www.ign.com/articles/retiring-lego-sets-are-sold-out-at-the-lego-store-july-2026
"DxO released new modules for the latest releases from Canon, Sony, Sigma, Panasonic, and Smayang","DxO released new modules for the latest releases from Canon, Sony, Sigma, Panasonic, and Smayang. A total of 1,515 new DxO Modules were released. Some of the newest camera modules have already been delivered automatically – here is the complete list: Cameras:…",Photorumors.com,2026-07-17T22:38:35Z,https://photorumors.com/2026/07/17/dxo-released-new-modules-for-the-latest-releases-from-canon-sony-sigma-panasonic-and-smayang/
wegear 140W 4-Port GaN USB-C Charger w/ Foldable Plug (Black or Silver) $24.99 + Free Shipping w/ Prime or on $35+,"Lenovo Product Marketplace, Inc. via Amazon [amazon.com] has *wegear 140W 4-Port GaN USB-C Charger w/ Foldable Plug *(Black or Silver) on sale for $49.99 - $5 off when you 'clip' coupon on product...",Slickdeals.net,2026-07-17T22:35:15Z,https://slickdeals.net/f/19775259-wegear-140w-4-port-gan-usb-c-charger-w-foldable-plug-black-or-silver-24-99-free-shipping-w-prime-or-on-35
"Long-Time Writer, First-Time Novelist","Television and theatre writer Arvind Ethan David shares the unexpected challenges and triumphs of switching to novel writing.
The post Long-Time Writer, First-Time Novelist appeared first on Writer's Digest.",Writersdigest.com,2026-07-17T22:28:21Z,https://www.writersdigest.com/long-time-writer-first-time-novelist#article
"Kaiser nurses say AI, workplace surveillance are making their jobs, care worse",KAISER PERMANENTE NURSES who answer advice and triage calls say their duty of care for patients is being increasingly threatened by workplace,Localnewsmatters.org,2026-07-17T22:26:30Z,https://localnewsmatters.org/2026/07/15/kaiser-nurses-say-ai-workplace-surveillance-are-making-their-jobs-and-patient-care-worse/
How to watch LA Galaxy vs LAFC match in the USA: Live Stream and TV for 2026 MLS,"LA Galaxy will take on LAFC in a 2026 MLS regular season match. Here’s everything you need to know to watch the action live in the United States. 
Here are all of the details of where you can watch LA Galaxy vs LAFC on US television and via legal streaming:

…",Worldsoccertalk.com,2026-07-17T22:25:00Z,https://worldsoccertalk.com/watch-on-us-tv/how-to-watch-la-galaxy-vs-lafc-match-in-the-usa-live-stream-and-tv-for-2026-mls/
EltaMD UV Clear Tinted Sunscreen Review: Is It Worth It? Tested by Women's Health,"After testing EltaMD UV Clear Tinted Sunscreen for seven months, I share why it's become my go-to lightweight SPF for oily, acne-prone skin.",Women's Health,2026-07-17T22:21:16Z,https://www.womenshealthmag.com/beauty/a72994462/eltamd-clear-tinted-sunscreen-review/
Tilswall 1000mL Electric Paint Sprayer w/ 3 Nozzles & 3 Spray Patterns (Gray) $26.99 + Free Shipping w/ Prime (0 replies),TIANWAN via Amazon [amazon.com] has Tilswall 1000mL Electric Paint Sprayer w/ 3 Nozzles & 3 Spray Patterns (Gray) on sale for $44.99 - $18 w/ code Y7DCJ2XT at checkout = $26.99. Shipping is free w,Slickdeals.net,2026-07-17T22:20:29Z,https://slickdeals.net/f/19775229-tilswall-1000ml-electric-paint-sprayer-w-3-nozzles-3-spray-patterns-gray-26-99-free-shipping-w-prime
$329.99* | Segway Cube 1000 LiFePO4 1024Wh 2200W Power Station + Free Shipping at Amazon (4 replies),"Amazon [amazon.com] has Segway Cube 1000 LiFePO4 1024Wh 2200W Power Station + Free Shipping for $329.99.
Shipping is free.

*Previous Popular Deal at $330 with 8 Deal Score and 16 comments

amazon.com",Slickdeals.net,2026-07-17T22:17:07Z,https://slickdeals.net/f/19775220-329-99-segway-cube-1000-lifepo4-1024wh-2200w-power-station-free-shipping-at-amazon
"Android Circuit: Galaxy Z Fold8 Update, Pixel 11’s Glow-Up, OnePlus Leaves The Stage","Taking a look back at this week’s Android headlines: new Galaxy Z Fold8 display, Google confirms Pixel 11 Glow, Redmii Note 17 battery upgrade, OnePlus leaves the stage, and more...",Forbes,2026-07-17T22:16:00Z,https://www.forbes.com/sites/ewanspence/2026/07/17/android-news-headlines-galaxy-z-fold8-pixel-11-redmii-note-17-oneplus-oppo/
