title,description,source,publishedAt,url
Space data centres: Can orbiting AI infrastructure solve Earth’s computing crisis?,"The idea of orbital data centres highlights how AI is pushing technology companies to rethink fundamental infrastructure assumptions. The potential benefits are that space offers abundant solar energy, eliminates competition for land and water resources, and …",Digital Journal,2026-07-17T21:17:25Z,https://www.digitaljournal.com/article/space-data-centres-can-orbiting-ai-infrastructure-solve-earths-computing-crisis/
'You're giving ballistic ⁠missiles to individuals with Mythos': JPMorgan CEO Jamie Dimon says Anthropic's AI model poses some serious risks,"Restricting Mythos to vetted organizations and keeping it out of the hands of the public seems to be the safest option for Anthropic, with JPMorgan CEO describing its risks as a “real issue.”",TechRadar,2026-07-17T21:05:00Z,https://www.techradar.com/pro/youre-giving-ballistic-missiles-to-individuals-with-mythos-jpmorgan-ceo-jamie-dimon-says-anthropics-ai-model-poses-some-serious-risks
ConocoPhillips Joins US Firms Vowing $60 Billion for Iraqi Deals,"ConocoPhillips joined dozens of US firms from the energy, healthcare, finance and tech sectors in signing some $60 billion in deals to lift the Iraqi economy.",Financial Post,2026-07-17T19:08:28Z,https://financialpost.com/pmn/business-pmn/conocophillips-joins-us-firms-vowing-60-billion-for-iraqi-deals
Fintech Disruptor StockFan Wins Bronze Globee® Award After Exploding Into 62 Countries in Year One,"Silicon Valley-based fintech startup shares the global spotlight with tech titans IBM, Uber, and JPMorgan Chase in the 2026 winner's circle. SAN FRANCISCO, July 17, 2026 /PRNewswire/ -- StockFan, Inc., the hyper-growth Silicon Valley fintech platform revoluti…",PRNewswire,2026-07-17T19:05:00Z,https://www.prnewswire.com/news-releases/fintech-disruptor-stockfan-wins-bronze-globee-award-after-exploding-into-62-countries-in-year-one-302828779.html
Worried AI Will Take Your Job? Jamie Dimon Says You’re Missing the Bigger Picture.,The CEO of the largest bank in the U.S. minimized concerns about AI’s impact on jobs.,Entrepreneur,2026-07-17T17:47:39Z,https://www.entrepreneur.com/business-news/jamie-dimon-says-everyone-is-missing-the-bigger-ai-picture
Telefonica price target lowered by EUR 0.50 at Citi,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",Thefly.com,2026-07-17T17:24:14Z,https://www.thefly.com/TEFOF
JPMorgan CEO has strong warning on America's skilled workforce,"At a moment when half of corporate America is talking about replacing workers with AI, Jamie Dimon flew to Philadelphia and said something different. The country doesn't have enough welders. It doesn't have enough electricians. And the ones it does have are g…",Biztoc.com,2026-07-17T17:20:52Z,https://biztoc.com/x/d0102c93ce2c42b3
Ocado Group price target lowered by 45 GBp at JPMorgan,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",Thefly.com,2026-07-17T17:14:33Z,https://www.thefly.com/OCDGF
JPMorgan Chase Commits $24 Million to Boost Shipbuilding and Submarine Supply Chain in Philadelphia,"JPMorgan Chase is investing $24 million to help strengthen the U.S. shipbuilding industry, including support for submarine manufacturing and maritime suppliers, as part of a broader effort to finance industries...",gcaptain.com,2026-07-17T17:12:41Z,https://gcaptain.com/jpmorgan-chase-commits-24-million-to-boost-shipbuilding-and-submarine-supply-chain-in-philadelphia/
9 Words From JPMorgan Chase's Jamie Dimon That Every Investor Needs to Hear Right Now. Hint: It Could Change Your Investment Strategy,"9 Words From JPMorgan Chase's Jamie Dimon That Every Investor Needs to Hear Right Now. Hint: It Could Change Your Investment Strategy.
The big banks' second-quarter results are in, and they demonstrate incredible market momentum. There was strong growth acros…",Biztoc.com,2026-07-17T17:07:59Z,https://biztoc.com/x/bdc2c1e4eb5bba3a
