title,description,source,publishedAt,url
Leather jacket worn by Nvidia CEO Jensen Huang auctions for nearly $1 mn,"A black leather jacket sported by Nvidia CEO Jensen Huang sold for $960,000 at a New York auction on Friday, 16 times higher than the estimated value of $60,000, according to Sotheby's. 
The post Leather jacket worn by Nvidia CEO Jensen Huang auctions for nea…",Digital Journal,2026-07-17T22:40:09Z,https://www.digitaljournal.com/article/leather-jacket-worn-by-nvidia-ceo-jensen-huang-auctions-for-nearly-1-mn/
"Databricks hits $188B valuation, extending its run as AI's favorite second act | TechCrunch",Databricks has remade its image into an AI company and has published research on the cost savings of open weight AI models for coding.,TechCrunch,2026-07-17T22:14:04Z,https://techcrunch.com/2026/07/17/databricks-hits-188b-valuation-extending-its-run-as-ais-favorite-second-act/
The 2026 Summer of Football: A Record-Breaking Moment Across Meta,"During the 2026 summer of soccer, engagement across Instagram, Threads, Facebook, and WhatsApp broke records. 
The post The 2026 Summer of Football: A Record-Breaking Moment Across Meta appeared first on Meta Newsroom.",Fb.com,2026-07-17T22:12:42Z,https://about.fb.com/news/2026/07/the-2026-summer-of-football-a-record-breaking-moment-across-meta/
"Numerai Completes Its Third NMR Buyback, Bringing Total Repurchases to $3.2M","Numerai, the decentralized hedge fund powered by crowdsourced machine learning, has announced the completion of its third strategic purchase of Numeraire (NMR), acquiring an additional $1.2 million of the token from the open market. The purchase brings Numera…",ZyCrypto,2026-07-17T21:57:28Z,https://zycrypto.com/numerai-completes-its-third-nmr-buyback-bringing-total-repurchases-to-3-2m/
"""Glaring Subsidization"": Virginia Questions Cost Allocation For Data Centers","""Glaring Subsidization"": Virginia Questions Cost Allocation For Data Centers
 
By Diana DiGangi of UtilityDive
Virginia Gov. Abigail Spanberger’s office, Meta, Google, Amazon, Microsoft and others weighed in on Dominion Energy’s proposal for allocating the co…",Biztoc.com,2026-07-17T21:55:14Z,https://biztoc.com/x/201c2aec88828e1e
Wall St ends lower for the day and week as chip selloff broadens,"The Dow Jones Industrial Average fell 406.55 points, or 0.77 per cent, to 52,146.42. Read more at straitstimes.com. Read more at straitstimes.com.",The Straits Times,2026-07-17T21:44:22Z,https://www.straitstimes.com/business/companies-markets/wall-st-ends-lower-for-the-day-and-week-as-chip-selloff-broadens
Show HN: LIA – a self-hosted multi-agent AI assistant (FastAPI and LangGraph),"Open-source multi-agent AI assistant powered by LangGraph, FastAPI &amp; Next.js — 16+ agents, Human-in-the-Loop, MCP integration, voice TTS, RAG, 500+ metrics, 6 languages. - jgouviergmail/LIA-Ass...",Github.com,2026-07-17T21:21:58Z,https://github.com/jgouviergmail/LIA-Assistant
"Numerai Completes Third Strategic NMR Buyback, Bringing Total Repurchases to $3.2 Million","San Francisco, CA, 17th July 2026, Chainwire
The post Numerai Completes Third Strategic NMR Buyback, Bringing Total Repurchases to $3.2 Million appeared first on The Daily Hodl.",The Daily Hodl,2026-07-17T21:14:00Z,https://dailyhodl.com/2026/07/17/numerai-completes-third-strategic-nmr-buyback-bringing-total-repurchases-to-3-2-million/
Meta is reportedly considering a multibillion-dollar data center deal with Anthropic,It would open up a completely new business for the Facebook and Instagram maker.,Slashdot.org,2026-07-17T21:12:15Z,https://slashdot.org/firehose.pl?op=view&amp;id=184497408
Meta in talks to rent some of its billions in AI infrastructure to Anthropic | CNN Business,"Meta is in talks with Anthropic about leasing computing capacity to the AI startup. It’s a move that could put the social media giant in competition with Amazon, Microsoft and Google in a new line of business: cloud computing.",CNN,2026-07-17T21:07:52Z,https://www.cnn.com/2026/07/17/tech/meta-anthropic-ai-cloud-computing
