title,description,source,publishedAt,url
Nancy Pelosi's husband Paul hit with charges over alleged hit-and-run,"Paul has been accused of crashing into an unoccupied parked car on the shoulder of a roadway just after 2.30pm in Yountville, a small town in the Wine Country of California on July 3.",Dailymail.com,2026-07-17T22:15:30Z,https://www.dailymail.com/news/article-15986459/Nancy-Pelosi-husband-Paul-charges-hit-run.html
Paul Pelosi chared in Napa County hit-and-run crash,The charges were handed down by the Napa County District Attorney's office.,New York Post,2026-07-17T22:04:05Z,https://nypost.com/2026/07/17/us-news/paul-pelosi-charged-with-hit-and-run-in-napa-valley/
Paul Pelosi charged with misdemeanor hit-and-run in Napa Valley,"Paul Pelosi, the husband of former House Speaker Nancy Pelosi, has been charged with misdemeanor hit-and-run in Napa County after prosecutors allege he struck a parked vehicle and left the scene.",Fox News,2026-07-17T22:03:58Z,https://www.foxnews.com/politics/paul-pelosi-charged-misdemeanor-hit-and-run-napa-valley
"Tesla, who's execs apparently never have to drive their own cars at night, finally get told to do fix their car's blindingly bright headlights [Followup]","Tesla, who's execs apparently never have to drive their own cars at night, finally get told to do fix their car's blindingly bright headlights",Fark.com,2026-07-17T21:44:56Z,https://www.fark.com/comments/14134372/Tesla-whos-execs-apparently-never-have-to-drive-their-own-cars-at-night-finally-get-told-to-do-fix-their-cars-blindingly-bright-headlights
"Chip stock pullback sparks worries about AI rally strength, leveraged trades",July 17 : A brutal week for chip stocks — the same names that fueled this year's blistering market rally — has left investors from Seoul to Silicon Valley asking whether the AI boom became over-leveraged and got ahead of itself.Investors from Asia to Europe p…,CNA,2026-07-17T20:55:11Z,https://www.channelnewsasia.com/business/chip-stock-pullback-sparks-worries-about-ai-rally-strength-leveraged-trades-6261476
Stocks skid to losing week as Chinese AI fears fuel chipmaker rout,Mounting concerns over massive AI spending and the potential to create an “AI bubble” have fueled weeks of choppy tech stock trading.,New York Post,2026-07-17T20:27:32Z,https://nypost.com/2026/07/17/business/stocks-skid-to-losing-week-as-chinese-ai-fears-fuel-chipmaker-rout/
Agility Robotics plants its flag in Tesla’s backyard,"Agility Robotics is opening a 60,000-square-foot facility to train its humanoid robots in Fremont, California, just up the highway from the factory where Tesla is expected to start manufacturing its Optimus robots this year.
Tesla has increasingly bet on Opti…",Biztoc.com,2026-07-17T20:23:54Z,https://biztoc.com/x/cd2b90d7a7e011a2
Agility Robotics plants its flag in Tesla's backyard | TechCrunch,"Agility is opening a new training center for its Digit robots in Fremont, California.",TechCrunch,2026-07-17T20:22:47Z,https://techcrunch.com/2026/07/17/agility-robotics-plants-its-flag-in-teslas-backyard/
Pelosi staffer pumps the brakes when pressed on husband's hit-and-run: 'That's enough',Nancy Pelosi refused to answer questions about husband Paul Pelosi's hit-and-run case in Napa County before a staffer shut down the exchange.,Fox News,2026-07-17T19:38:00Z,https://www.foxnews.com/politics/pelosi-staffer-pumps-brakes-pressed-husbands-hit-and-run-thats-enough
"Podcast: TSLA shareholders wake up, Xpeng targets EU, VW goes cheaper, and more","In the Electrek Podcast, we discuss the most popular news in the world of sustainable transport and energy. In this week’s episode, we discuss Tesla shareholders potentially starting to wake up, Xpeng targeting the European market, VW going cheaper with its E…",Electrek,2026-07-17T19:29:46Z,http://electrek.co/2026/07/17/podcast-tsla-shareholders-wake-up-xpeng-targets-eu-vw-goes-cheaper-and-more/
